id,pass,pass_title,severity,component,location,summary,confidence,fix_commit,regression_test,status
P02-F03,02,Server aggregation,fragile,core,fedbrew/core/torch_utils.py,the running sum inherits the client tensor's dtype; a bf16/fp16 model state would be averaged at 2–3 significant digits,certain,,tests/test_accumulator_precision.py,fixed
P02-F04,02,Server aggregation,style,servers,fedbrew/servers/fedopt.py,servers/fedopt.py re-implements two torch_utils helpers,certain,,tests/test_state_primitives_are_shared.py,fixed
P03-F01,03,Client-side local training,silent-degradation,clients,fedbrew/clients/torch_sgd_client.py,"local_sgd and fedprox return the unchanged global model, and report success, when a client yields zero training batches",certain,,tests/test_empty_training_batches.py,fixed
P03-F02,03,Client-side local training,fragile,core,fedbrew/core/factory.py,"local_adamw cannot be constructed: the factory always passes eval_batch_size, which the client does not accept",certain,,,fixed
P03-F03,03,Client-side local training,fragile,core,fedbrew/core/factory.py,"runtime.performance.dataloader is merged into the **evaluation** loader unvalidated, and drop_last there would corrupt the aggregation weight",certain,,,fixed
P03-F04,03,Client-side local training,fragile,core,fedbrew/core/config.py,"UPDATE_MODE_CLIENT_RULES / FIXED_LR_SGD_CLIENT_RULES are defined twice with different members, and fedavg_ft is only in one of them",certain,,tests/test_client_rule_sets_are_shared.py,fixed
P03-F05,03,Client-side local training,fragile,clients,fedbrew/clients/local_update_modes.py,"max_grad_norm means a different quantity in frozen_batch_gradients, and that mode crashes under AMP where the other adaptive rules refuse it",certain,,tests/test_grad_clipping_is_per_mode.py,fixed
P03-F06,03,Client-side local training,fragile,tasks,fedbrew/tasks/causal_lm/torch_causal_lm.py,"the causal-LM loss drops every target token equal to pad_token_id, and the one generator that can set that id defaults it to EOS",certain,,tests/test_pad_token_id_is_not_eos.py,fixed
P03-F07,03,Client-side local training,style,core,fedbrew/core/factory.py,"runtime.use_amp never reaches the causal-LM task, so LLM runs silently ignore it and the two AMP guards cannot fire there",certain,,tests/test_amp_is_refused_where_it_is_ignored.py,fixed
P04-F01,04,Numerical stability,wrong-results,core,fedbrew/core/loop.py,"a diverging run dies inside statistics.pstdev before the divergence monitor sees it, so the arm vanishes from the sweep record and the job reports a crash",certain,,tests/test_divergence.py,fixed
P04-F02,04,Numerical stability,silent-degradation,core,fedbrew/core/torch_utils.py,"no tensor is ever checked for NaN/Inf; a non-finite state is averaged, broadcast, checkpointed, and in FedOpt/FedLALR/SCAFFOLD becomes permanent",certain,,tests/test_non_finite_aggregation.py,fixed
P04-F03,04,Numerical stability,silent-degradation,core,fedbrew/core/artifacts.py,"runs_index.jsonl is written with bare NaN, four lines from the sanitiser added for exactly that reason and applied only to run.json",certain,,tests/test_runs_index_json_validity.py,fixed
P04-F04,04,Numerical stability,silent-degradation,core,fedbrew/core/runtime_setup.py,"matmul_precision: high cuts fp32 matmuls to 10–16 mantissa bits, under a config comment asserting it cannot change results",certain,,tests/test_matmul_precision.py,fixed
P04-F05,04,Numerical stability,fragile,servers,fedbrew/servers/fedopt.py,tau: 0 is accepted by the always-on validator and turns any exactly-zero delta coordinate into 0/0,certain,,tests/test_fedopt_bounds_are_on_the_run_path.py,fixed
P04-F06,04,Numerical stability,fragile,core,fedbrew/core/loop.py,a NaN first observation of the selection metric freezes best.pt for the rest of the run,certain,,tests/test_best_checkpoint_selection_is_not_frozen.py,fixed
P04-F07,04,Numerical stability,fragile,core,fedbrew/core/runtime_setup.py,"configure_runtime swallows every exception into a metadata key nothing reads, and resolve_torch_device silently falls back to CPU",certain,,tests/test_runtime_setup_applies_or_refuses.py,fixed
P04-F08,04,Numerical stability,fragile,tasks,fedbrew/tasks/causal_lm/torch_causal_lm.py,the causal-LM zero-active-token fallback multiplies a full logit sum by zero,certain,,tests/test_zero_active_token_loss.py,fixed
P06-F01,06,Data generation and client partitioning,wrong-results,data,fedbrew/data/femnist.py,"on FEMNIST, central_test_* is not a test metric; it is the validation set under a different name",certain,,tests/test_femnist_support.py tests/test_femnist_writer_split.py tests/test_split_reader_isolation.py,fixed
P06-F02,06,Data generation and client partitioning,silent-degradation,data,fedbrew/data/partitioners/label_skew.py,partition_label_skew silently abandons labels_per_client when num_clients × labels_per_client < num_classes,certain,,tests/test_label_skew_coverage.py,fixed
P06-F03,06,Data generation and client partitioning,silent-degradation,data,fedbrew/data/generate.py,both synthetic classification generators draw labels independently of features; the data carries no learnable signal,certain,,tests/test_synthetic_label_signal.py,fixed
P06-F04,06,Data generation and client partitioning,silent-degradation,data,fedbrew/data/partitioners/quantity_skew.py,quantity_skew accepts min_size: 0 and produces empty clients; the realized size distribution is undocumented and extremely heavy-tailed,certain,,tests/test_quantity_skew_sizes.py,fixed
P06-F05,06,Data generation and client partitioning,fragile,data,fedbrew/data/femnist.py,"a FEMNIST writer's train/eval split depends on its *position* in the selected list, so changing num_clients re-splits every writer",certain,,tests/test_femnist_support.py,fixed
P06-F06,06,Data generation and client partitioning,fragile,data,fedbrew/data/partitioners/dirichlet.py,"_fill_empty_clients is skipped exactly when it is most needed, and otherwise manufactures 1-example clients that carry no validation split",certain,,tests/test_empty_client_partitions.py,fixed
P06-F07,06,Data generation and client partitioning,fragile,data,fedbrew/data/generate.py,the FedAvg weight n_k counts eval examples; the distortion is real but small (measured),certain,,,fixed
P06-F08,06,Data generation and client partitioning,fragile,data,fedbrew/data/partitioners/label_skew.py,"mnist_ten_label is stratified, not IID; its label distribution is 7.6× more uniform than a real IID draw",certain,,,obsolete
P06-F09,06,Data generation and client partitioning,style,data,fedbrew/data/partitioners/iid.py,"partition_iid is the only partitioner that returns unsorted indices, and dirichlet iterates classes in first-appearance order",certain,,,
P06-F10,06,Data generation and client partitioning,style,data,fedbrew/data/generate.py,per-client split seeds collide with the test-partition seed at one client position,certain,,,
P07-F01,07,Data leakage and evaluation protocol,wrong-results,cli,fedbrew/cli/eval_medmcqa_choice.py,"fl-eval-medmcqa selects every MedMCQA/OASST1 hyperparameter on the global test set, which is also the metric it reports; the per-client eval split is computed and never read",certain,,tests/test_medmcqa_choice_eval.py,fixed
P07-F02,07,Data leakage and evaluation protocol,wrong-results,configs,configs/mnist/fedavg.yaml,"the reporting layer reads central_test_accuracy and nothing else; val_* is computed on every run and never reaches a figure, so an arm chosen from the MNIST figures is chosen on the official test set",certain,,,fixed
P07-F03,07,Data leakage and evaluation protocol,silent-degradation,core,fedbrew/core/config.py,"early stopping accepts any metric, test metrics included, one function away from the guard that exists for checkpoint selection",certain,,tests/test_divergence.py,fixed
P07-F04,07,Data leakage and evaluation protocol,fragile,core,fedbrew/core/divergence.py,"the patience detector hardcodes ""lower is better"", so early stopping on any accuracy metric reports a still-improving run as stalled",certain,,tests/test_divergence.py,fixed
P07-F06,07,Data leakage and evaluation protocol,fragile,configs,configs/femnist/fedavg_ft.yaml,"fedavg_ft is the only FEMNIST arm whose selection metric is measured on 200 clients instead of 3,597",certain,,tests/test_client_count_is_emitted_beside_aggregates.py,fixed
P07-F07,07,Data leakage and evaluation protocol,fragile,core,fedbrew/core/loop.py,"the evaluation client sampler ignores the split, so val: sample:N and test: sample:N draw the identical clients",certain,,tests/test_evaluation_draw_is_per_split.py,fixed
P07-F08,07,Data leakage and evaluation protocol,fragile,clients,fedbrew/clients/torch_sgd_client.py,"_get_eval_data falls back to the train split and calls the result an evaluation metric, contradicting the documented guarantee",certain,,tests/test_split_reader_isolation.py,fixed
P07-F09,07,Data leakage and evaluation protocol,style,core,fedbrew/core/validation.py,"--validate-only still validates a checkpoint field the run path rejects, and checks the selection metric more weakly than the run path",certain,,tests/test_preflight_agrees_on_checkpoint_selection.py,fixed
P07-F10,07,Data leakage and evaluation protocol,style,figures,removed:csv_plots/csv_configs/femnist/comparison-figure.yaml,"the FEMNIST comparison figure configs compare SCAFFOLD at a different batch size from the arms beside it",certain,,,obsolete
P08-F01,08,Experiment scripts and reported statistics,wrong-results,servers,fedbrew/servers/fedavg.py,"seeds s and s+1 produce the same client-participation schedule shifted by one round, so a spread across consecutive seeds is not replicate variance",certain,,tests/test_participation_sampling.py,fixed
P08-F02,08,Experiment scripts and reported statistics,wrong-results,figures,removed:csv_plots/csv_configs/femnist/composite.yaml,"every FEMNIST and MNIST comparison figure draws a single run per arm, so no difference it shows can be told apart from one run's own late-round fluctuation",certain,,tests/test_run_json_resume_accounting.py,fixed
P08-F03,08,Experiment scripts and reported statistics,silent-degradation,figures,removed:figspec.py,"a combine series silently truncates every seed to the shortest input, so one diverged replicate cuts the mean curve off at its death round with no warning",certain,,,fixed
P08-F04,08,Experiment scripts and reported statistics,silent-degradation,figures,removed:figspec.py,"the ""standard deviation"" band is the population std (ddof=0), 18% too narrow at n=3, and is drawn as if it were an error bar",certain,,,fixed
P08-F05,08,Experiment scripts and reported statistics,silent-degradation,cli,fedbrew/cli/make_report.py,"fl-report prints the last evaluated round of a diverged or still-running run under the heading ""Final Metrics""",certain,,tests/test_report_run_status.py,fixed
P08-F07,08,Experiment scripts and reported statistics,fragile,slurm,removed:SLURMs/fedopt_femnist_packed.sh,"the FEMNIST sweep script's cross-family comparison mixes local_epochs 1 and 20, i.e. 20× different local computation per communication round, on an x-axis labelled ""Communication rounds""",certain,,,obsolete
P08-F08,08,Experiment scripts and reported statistics,fragile,configs,configs/femnist/fedavg.yaml,"""rounds to target"" is not computed anywhere; if computed from what is on disk it is quantised to 10 rounds on FEMNIST, 50 on MNIST, and the centralized ""round"" is not a communication round",certain,,,obsolete
P08-F09,08,Experiment scripts and reported statistics,fragile,reports,removed:reports/results-report.md,"the removed results report's statistics mix an unlabelled ± across seeds, a √2 ""SE of a difference"" that assumes independent test sets, and significance claimed from single runs",certain,,,obsolete
P08-F10,08,Experiment scripts and reported statistics,style,docs,removed:docs/experiment_checklist.md,"the post-run checklist points at summary.json and fl-plot-csv, neither of which the current pipeline produces",certain,,,obsolete
P09-F01,09,Randomness and seeding,silent-degradation,core,fedbrew/core/loop.py,"the RNG state is not in the checkpoint, so a requeued FEMNIST/OpenImage/LLM run silently continues on a different dropout trajectory than the run it claims to resume",certain,,tests/test_resume_rng_state.py tests/test_reproducibility.py,fixed
P09-F02,09,Randomness and seeding,silent-degradation,core,fedbrew/core/runtime_setup.py,deterministic_warn_only: true in all 28 configs downgrades PyTorch's determinism guarantee to a warning; the full-model LLM arm is measurably nondeterministic through it,certain,,tests/test_strict_determinism_default.py,fixed
P09-F03,09,Randomness and seeding,silent-degradation,clients,fedbrew/clients/fedavg_ft_client.py,"the FedAvg+FT personalized evaluation trains through the global RNG, so evaluation.model_scope and evaluation.*.clients change the arm's *training* curve",certain,,tests/test_client_eval_state_reuse.py tests/test_fedavg_ft.py,fixed
P09-F04,09,Randomness and seeding,silent-degradation,tasks,fedbrew/tasks/causal_lm/torch_causal_lm.py,"TorchCausalLMTask has no model cache, so runtime.performance.reuse_model is silently ignored and every fit and every evaluate re-randomises the LoRA adapter out of the global RNG",certain,,tests/test_causal_lm_model_reuse.py,fixed
P09-F05,09,Randomness and seeding,silent-degradation,tests,tests/test_runtime_setup.py,"nothing tests reproducibility, and the one test that looks like it does covers the part that already works",certain,,tests/test_reproducibility.py,fixed
P09-F06,09,Randomness and seeding,fragile,core,fedbrew/core/runtime_setup.py,per-client seed derivation exists and is used for one thing; round_seed and client_seed are dead code,certain,,tests/test_resume_rng_state.py,fixed
P09-F07,09,Randomness and seeding,fragile,servers,fedbrew/servers/fedavg.py,"sample_clients draws from the roster in clients.jsonl line order, while the evaluation sampler deliberately sorts",certain,,tests/test_participation_is_order_independent.py,fixed
P09-F08,09,Randomness and seeding,fragile,core,fedbrew/core/factory.py,"runtime.num_workers never reaches the DataLoader, so _SeedWorker is unreachable in every shipped config and --num-workers silently no-ops on two of them",certain,,tests/test_dataloader_workers_are_seeded_per_epoch.py,fixed
P09-F09,09,Randomness and seeding,fragile,clients,fedbrew/clients/fedavg_ft_client.py,the FedAvg+FT fine-tuning pass replays the fit phase's batch order exactly,certain,,tests/test_finetune_draws_its_own_order.py,fixed
P09-F10,09,Randomness and seeding,style,core,fedbrew/core/runtime_setup.py,seed_everything normalises the seed to 32 bits for numpy and torch but not for random,certain,,,
P10-F01,10,Silent failures (whole codebase),wrong-results,figures,removed:figspec.py,"figspec plots by CSV row index, not round_id, so the curve of any run whose CSV starts after round 1 is shifted left",certain,,,fixed
P10-F02,10,Silent failures (whole codebase),wrong-results,core,fedbrew/core/artifacts.py,"run.json reports num_rounds, duration_sec, timing.* and scale.* from the last attempt's history, so fl-report prints a resumed run's last attempt as the whole run, and nothing on disk says the run was resumed",certain,,tests/test_run_json_resume_accounting.py,fixed
P10-F03,10,Silent failures (whole codebase),silent-degradation,core,fedbrew/core/config.py,"no layer rejects an unknown config key: every optional knob in the run config, the checkpoint/performance/evaluation/divergence blocks, every model builder, and every generator YAML takes its default when misspelled, and --validate-only says READY",certain,,tests/test_unknown_config_keys.py,fixed
P10-F04,10,Silent failures (whole codebase),silent-degradation,core,fedbrew/core/loop.py,a best_metric that passes both validators but is never emitted disables best.pt with no message; the validator's own help text names such a metric,certain,,tests/test_evaluation_model_scope.py,fixed
P10-F05,10,Silent failures (whole codebase),silent-degradation,core,fedbrew/core/loop.py,"the divergence monitor is rebuilt empty on resume, so a requeued run's blow-up ceiling becomes 10× its *resumed-round* loss instead of 10× round 1",certain,,tests/test_divergence.py,fixed
P10-F06,10,Silent failures (whole codebase),silent-degradation,cli,fedbrew/cli/make_report.py,"two fl-report lines read scale keys that run.json never writes, so they are always blank",certain,,tests/test_report_run_size.py,fixed
P10-F07,10,Silent failures (whole codebase),silent-degradation,data,fedbrew/data/generate.py,regenerating a dataset into an existing directory is non-atomic and never clears stale files; the validator only checks that shard keys exist,certain,,tests/test_generator_atomic_write.py,fixed
P10-F08,10,Silent failures (whole codebase),silent-degradation,data,fedbrew/data/generic_sft.py,"generic_sft decides client eligibility before packing, so a selected client can end with 0 train or 0 eval windows and be written anyway",certain,,tests/test_generic_sft_eligibility.py,fixed
P10-F09,10,Silent failures (whole codebase),silent-degradation,data,fedbrew/data/generic_sft.py,"_safe_client_id is lossy and collisions are never checked: two group names can map to one shard, and list_clients then returns the id twice",certain,,tests/test_client_id_collisions.py,fixed
P10-F10,10,Silent failures (whole codebase),silent-degradation,data,fedbrew/data/generic_sft.py,"generic_sft downgrades tokenization failures, including the prompt-prefix mask guard, to a counter",certain,,tests/test_sft_tokenizer_contract.py,fixed
P10-F11,10,Silent failures (whole codebase),silent-degradation,figures,removed:figspec.py,"figspec combine and every band path join series by row position, never by round_id",certain,,,fixed
P10-F12,10,Silent failures (whole codebase),silent-degradation,figures,removed:csv_plots/csv_configs/femnist/comparison-figure.yaml,"the ""Centralized"" ceiling in the FEMNIST comparison figures is the centralized run's *first* evaluated round",likely,,,fixed
P10-F13,10,Silent failures (whole codebase),silent-degradation,core,fedbrew/core/artifacts.py,"git_commit/git_dirty are written as null by construction, and the runtime record (torch/CUDA versions, effective flags, swallowed setup errors) is computed and dropped",certain,,tests/test_strict_determinism_default.py,fixed
P10-F14,10,Silent failures (whole codebase),fragile,clients,fedbrew/clients/fedavg_client.py,"on resume, client and server hyperparameters are restored from the checkpoint and silently override the config, while run.json records the config",certain,,tests/test_resume_refuses_a_changed_hyperparameter.py,fixed
P10-F15,10,Silent failures (whole codebase),fragile,core,fedbrew/core/loop.py,"a parse failure in a per-client CSV on resume is downgraded to a print, and the next checkpoint round rewrites that file without the pre-resume rows",certain,,tests/test_run_json_resume_accounting.py,fixed
P10-F16,10,Silent failures (whole codebase),fragile,tasks,fedbrew/tasks/causal_lm/torch_causal_lm.py,the causal-LM task treats token id 0 as padding whenever a manifest omits padding_token_id,certain,,tests/test_causal_lm_task_model.py,fixed
P10-F17,10,Silent failures (whole codebase),fragile,core,fedbrew/core/run_metadata.py,run.json's LoRA trace re-derives builder defaults by hand,certain,,tests/test_lora_trace_is_the_builders_answer.py,fixed
P10-F18,10,Silent failures (whole codebase),fragile,tasks,fedbrew/tasks/causal_lm/torch_causal_lm.py,TorchCausalLMTask.train_step builds a fresh AdamW on every call when no optimizer is passed,certain,,tests/test_causal_lm_train_step_requires_an_optimizer.py,fixed
P10-F19,10,Silent failures (whole codebase),fragile,data,fedbrew/data/oasst1_sft.py,"client_splits is parsed, validated, and then discarded by both SFT generators; the shipped OASST1 config sets it",certain,,tests/test_client_splits_is_declared.py,fixed
P10-F20,10,Silent failures (whole codebase),fragile,data,fedbrew/data/hf_causal_lm_text.py,hf_causal_lm_text records the tokenizer's pad id even when nothing is padded; with pad == EOS every record separator is also removed from the attention mask,certain,,tests/test_hf_causal_lm_text_padding_token.py,fixed
P10-F21,10,Silent failures (whole codebase),fragile,data,fedbrew/data/hf_causal_lm_text.py,hf_causal_lm_text with stride < sequence_length leaks overlapping tokens between a client's train and eval windows,certain,,tests/test_causal_lm_window_overlap.py,fixed
P10-F22,10,Silent failures (whole codebase),fragile,data,fedbrew/data/generate.py,"partition hyperparameters (alpha, labels_per_client, min_size, seed) are not persisted in manifest.json or partition_stats.json",certain,,tests/test_partition_provenance.py,fixed
P10-F23,10,Silent failures (whole codebase),fragile,data,fedbrew/data/femnist.py,manifest input_dtype / input_range are decorative; input scaling lives in each run config,certain,,tests/test_manifest_input_claims.py,fixed
P10-F24,10,Silent failures (whole codebase),fragile,data,fedbrew/data/manifest_dataset.py,the shard cache hands out the cached dicts and tensors themselves,certain,,tests/test_shard_cache.py,fixed
P10-F25,10,Silent failures (whole codebase),fragile,core,fedbrew/core/data_staging.py,"data_staging keys the destination by directory basename, never cleans it, and shares it across every run packed on the node",certain,,tests/test_staging_destination_is_the_source.py,fixed
P10-F26,10,Silent failures (whole codebase),fragile,data,fedbrew/data/generate.py,any torchvision failure on MNIST silently switches to an unverified mirror download while the manifest still says source: torchvision.datasets.MNIST,certain,,tests/test_mnist_source_provenance.py,fixed
P10-F27,10,Silent failures (whole codebase),fragile,cli,fedbrew/cli/eval_medmcqa_choice.py,fl-eval-medmcqa keeps questions it skipped for length in the option-scoring denominator,needs-runtime-check,,tests/test_medmcqa_option_denominator.py,fixed
P10-F28,10,Silent failures (whole codebase),fragile,core,fedbrew/core/logging.py,the round-table definitions name a metric that is never emitted and mislabel scope for non-participating train evaluation,certain,,,fixed
P10-F29,10,Silent failures (whole codebase),fragile,figures,removed:figspec.py,figspec legend_color is applied by zipping legend texts with the series list; box: sub-keys are the only schema keys not rejected when unknown,certain,,,obsolete
P10-F30,10,Silent failures (whole codebase),fragile,figures,removed:csv_plotter.py,"the installed fl-plot-csv (csv_plotter.py) silently ignores x_column, markers, band*, *_transform, and draws no legend unless a grid is on",certain,,,obsolete
P10-F31,10,Silent failures (whole codebase),style,servers,fedbrew/servers/fedavg.py,"server.metrics filters out every extra a client reports, so client_learning_rate and optimizer_steps listed under client.metrics never reach the CSV on the FedAvg/FedOpt arms",,,tests/test_planned_columns_are_written.py,fixed
P10-F32,10,Silent failures (whole codebase),style,models,fedbrew/models/openimage_shufflenet.py,group_norm_groups: 8 silently becomes 2 and 4 groups in ShuffleNet's narrow layers,,,tests/test_group_norm_request_is_recorded.py,fixed
P10-F33,10,Silent failures (whole codebase),style,core,fedbrew/core/factory.py,dead or shadowing paths that would mislead a future edit,,,tests/test_no_dead_or_shadowing_paths.py,fixed
P10-F34,10,Silent failures (whole codebase),style,figures,removed:figspec.py,"figspec x_axis_set: maxmin is a silent no-op; 28 series in 8 MNIST configs use line_styles: "".-."", which figspec rejects loudly",,,,obsolete
P10-F35,10,Silent failures (whole codebase),style,data,fedbrew/data/hf_causal_lm_text.py,generator minor items,,,,
P11-F01,11,Namespace and naming conflicts,fragile,core,fedbrew/core/config.py,"input_dim/num_classes are independent, identically-named fields on both DataConfig and ModelConfig, with no cross-check tying them together",certain,,tests/test_model_is_shaped_for_its_data.py,fixed
P11-F02,11,Namespace and naming conflicts,style,tasks,fedbrew/tasks/__init__.py,"get_task_registry is defined twice, and all five get_*_registry helpers are dead",certain,,,fixed
P12-F01,12,Performance and memory,silent-degradation,core,fedbrew/core/loop.py,"every checkpoint file stores the current global model twice, from two independent clones of the same tensor",certain,,,fixed
P12-F02,12,Performance and memory,silent-degradation,core,fedbrew/core/runner.py,"run.json is rewritten every round with four full-history scans over lists that grow every round, unconditionally, regardless of per_client_csv",certain,,,fixed
P12-F03,12,Performance and memory,silent-degradation,core,fedbrew/core/artifacts.py,"the per-client CSV rewrite throttle in flush_round_artifacts is defeated by save_last: true, which every shipped training config sets",certain,,,fixed
P12-F04,12,Performance and memory,style,tasks,fedbrew/tasks/classification/torch_classification.py,build_model's cache-key is recomputed with json.dumps on every call even though the model config never changes for a task instance,certain,,,fixed
P13-F01,13,Reported communication and compute cost metrics,silent-degradation,clients,fedbrew/clients/torch_delta_sgd_client.py,"the only measured communication-cost metric is computed correctly for Delta-SGD, then silently stripped by its own shipped config before it reaches the CSV",certain,,,fixed
P13-F02,13,Reported communication and compute cost metrics,silent-degradation,clients,fedbrew/clients/torch_fedprox_client.py,FedProx and SCAFFOLD never compute communicated_bytes/communicated_parameters at all; SCAFFOLD's real per-round volume is 2x FedAvg's and entirely unmeasured,certain,,,fixed
P13-F03,13,Reported communication and compute cost metrics,fragile,clients,fedbrew/clients/torch_fedlalr_client.py,"client.metrics is an authoritative allowlist for five client classes and silently unenforced for two, so the same config key means different things depending on which algorithm reads it",certain,,,fixed
POST-F01,post,Post-census: found after the audit closed,wrong-results,clients,fedbrew/clients/torch_sgd_client.py,"learning_rate_schedule cosine with min_learning_rate 0.0 raises on the final round, leaving a complete-looking shorter run on disk",certain,,tests/test_learning_rate_schedule_floor.py,fixed
POST-F02,post,Post-census: found after the audit closed,wrong-results,core,fedbrew/core/loop.py,"statistics.pstdev raises OverflowError on finite per-client losses, killing the round mid-run and leaving a complete-looking shorter run on disk",certain,,tests/test_client_statistics_overflow.py,fixed
POST-F03,post,Post-census: found after the audit closed,fragile,servers,fedbrew/servers/fedopt.py,the FedOpt moments m and v inherit the model state's dtype and are carried for the whole run; under a bf16 model the second moment holds ~10% relative error against the same deltas accumulated in float32,certain,,,
POST-F04,post,Post-census: found after the audit closed,silent-degradation,clients,fedbrew/clients/torch_sgd_client.py,"ten configured client settings are checkpointed and read back by nothing, so a resume across an edited config silently applies the new value from the resumed round on -- P10-F14's defect with the config winning instead of the checkpoint",certain,,tests/test_resume_refuses_a_changed_hyperparameter.py,fixed
POST-F05,post,Post-census: found after the audit closed,wrong-results,core,fedbrew/core/runner.py,"run.json records resumed as bool(resume_from), so a run whose checkpoint was rejected and which restarted from round 1 claims to have continued an earlier attempt, and no other field disagrees",certain,,tests/test_resume_provenance_is_what_happened.py,fixed
POST-F06,post,Post-census: found after the audit closed,fragile,models,fedbrew/models/tiny_gpt2.py,"build_tiny_gpt2 reads pad_token_id through int(), so a manifest that declares padding_token_id: null -- which both SFT generators write -- makes a legal model/dataset pairing die with a bare TypeError inside the model factory",certain,,tests/test_tiny_gpt2_accepts_a_null_padding_token.py,fixed
POST-F07,post,Post-census: found after the audit closed,silent-degradation,servers,fedbrew/servers/fedavg.py,"participation_rate and seed, which every server strategy is built with, are never checkpointed, so no resume compares them: an edited value is taken silently and run.json records it for the whole run -- POST-F04's contract broken by the artifact omitting the setting rather than by the comparison omitting the key",certain,,tests/test_resume_refuses_a_changed_hyperparameter.py,fixed
POST-F08,post,Post-census: found after the audit closed,silent-degradation,clients,fedbrew/clients/fedavg_client.py,"max_grad_norm, which FedAvgClient and TorchDeltaSGDClient are built with, is never checkpointed, so no resume compares it: a resume across an edited clipping threshold is taken silently and run.json records the new value for the whole run -- POST-F07's defect at the client, found in the same investigation",certain,,tests/test_resume_refuses_a_changed_hyperparameter.py,fixed
POST-F09,post,Post-census: found after the audit closed,fragile,core,fedbrew/core/runner.py,"nothing between the console script and run() caught a refusal, so a config refused by validation or a checkpoint a resume will not load reached the reader as a raw traceback exiting 1, the status a crash exits with: 12 of the 13 resume-path refusals did so, and the thirteenth left cleanly only by raising SystemExit itself",certain,,tests/test_a_refusal_is_a_message_not_a_traceback.py,fixed
POST-F10,post,Post-census: found after the audit closed,wrong-results,core,fedbrew/core/loop.py,"a resume whose client_metrics.csv or client_update_metrics.csv held one corrupt row warned, exited 0 and rewrote both files with the resumed rounds only, deleting every earlier round's client rows -- including those of a file that was intact",certain,,tests/test_resume_metrics_continuity.py,fixed
POST-F11,post,Post-census: found after the audit closed,fragile,core,fedbrew/core/runner.py,"a staged run's run.json names the source manifest rather than the copy it read, and data_staging.enabled is the request rather than the outcome, so a staged run, an unstaged one and one whose staging was skipped record the same provenance",certain,,,
POST-F12,post,Post-census: found after the audit closed,silent-degradation,core,fedbrew/core/config.py,"divergence.metric may name one of FedLALR's four client_effective_learning_rate_* spread columns under a client.metrics that filters out client_effective_learning_rate_mean, which the server builds them from: the config loads, no round carries the column, and every detector stays silent for the run",certain,,tests/test_divergence_metric_reachable.py,fixed
POST-F13,post,Post-census: found after the audit closed,fragile,tests,tests/test_divergence_metric_reachable.py,"test_the_strategy_s_own_diagnostics_are_never_filtered cannot fail: its config pairs server.strategy fedlalr with client.update_rule local_sgd, validate_config refuses that before the divergence check runs, and _refuses reads any refusal that does not name divergence.metric as a load",certain,,tests/test_divergence_metric_reachable.py,fixed
POST-F14,post,Post-census: found after the audit closed,wrong-results,servers,fedbrew/servers/fedlalr.py,"FedLALR's clients and server both write client_effective_learning_rate_min and _max, as different quantities, and under a client.metrics that names the client's but not client_effective_learning_rate_mean the round record carries the clients' averaged value under the name documented as the server's spread across clients",certain,,tests/test_fedlalr_diagnostics.py,fixed
